Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
PPCB,"Propanc Biopharma, Inc. Common Stock",,,+5.52,+192.33%,38.911M,"10,072",97.423M,--,"+239,066.67%",
DAY,Dayforce Inc,,,+14.12,+26.70%,3.642M,1.843M,10.699B,223.33,-4.84%,
WULF,TeraWulf Inc.,,,+1.36,+15.16%,52.604M,51.801M,4.051B,--,+106.21%,
DUOL,"Duolingo, Inc.",,,+31.47,+9.63%,"925,051",1.198M,16.423B,146.29,+57.80%,
RUN,Sunrun Inc.,,,+1.18,+8.48%,21.027M,24.218M,3.484B,--,-31.29%,
NXT,Nextracker Inc.,,,+4.96,+8.18%,1.978M,2.503M,9.947B,17.86,+50.40%,
FSLR,"First Solar, Inc.",,,+14.76,+7.38%,3.009M,4.116M,23.027B,18.35,-12.45%,
APLD,Applied Digital Corporation,,,+1.20,+8.52%,19.081M,49.797M,3.999B,--,+242.82%,
ALVO,Alvotech,,,+0.55,+6.79%,"439,900","295,959",2.67B,37.26,-38.22%,
OSCR,"Oscar Health, Inc.",,,+0.98,+6.27%,9.581M,25.437M,4.297B,--,-11.24%,
NWL,Newell Brands Inc.,,,+0.37,+6.78%,1.588M,9.22M,2.443B,--,-26.22%,
WBTN,WEBTOON Entertainment Inc.,,,+0.90,+6.01%,"360,186","561,338",2.073B,--,+14.62%,
MNSO,MINISO Group Holding Limited,,,+1.07,+5.42%,"167,854","910,258",6.355B,18.91,+26.39%,
ELF,"e.l.f. Beauty, Inc.",,,+5.47,+4.70%,"401,218",2.545M,6.913B,72.10,-27.31%,
EPAM,"EPAM Systems, Inc.",,,+7.79,+4.93%,"196,633","778,661",9.218B,23.64,-22.04%,
KC,Kingsoft Cloud Holdings Limited,,,+0.72,+5.30%,"664,444",1.902M,4.021B,--,+436.76%,
HSAI,Hesai Group,,,+1.40,+5.47%,1.937M,3.431M,3.575B,245.36,+464.90%,
NVO,Novo Nordisk A/S,,,+2.62,+5.06%,14.049M,14.432M,235.076B,13.89,-61.25%,
ENLT,Enlight Renewable Energy Ltd,,,+1.25,+4.79%,"22,798","36,932",3.28B,160.76,+61.29%,
DAVE,Dave Inc.,,,+9.20,+4.57%,"83,650","575,404",2.843B,55.56,+432.78%,
AMRN,Amarin Corporation plc,,,+0.75,+4.76%,"24,288","110,720",339.095M,--,+16.79%,
ALHC,"Alignment Healthcare, Inc.",,,+0.66,+4.39%,"246,556",3.422M,3.111B,--,+75.20%,
PENN,"PENN Entertainment, Inc.",,,+0.75,+4.09%,"994,367",4.257M,2.772B,--,-8.94%,
ENPH,"Enphase Energy, Inc.",,,+1.45,+4.16%,4.724M,9.266M,4.745B,28.13,-70.90%,
CAR,"Avis Budget Group, Inc.",,,+6.37,+4.09%,"186,795",1.295M,5.701B,--,+75.08%,
