Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
NEGG,"Newegg Commerce, Inc.",,,+12.01,+13.47%,"467,170",1.136M,1.975B,--,+419.77%,
VKTX,"Viking Therapeutics, Inc.",,,+1.58,+6.49%,9.135M,4.857M,2.917B,--,-62.38%,
HTHT,H World Group Limited,,,+1.82,+5.44%,1.407M,1.763M,10.794B,24.59,+16.94%,
COCO,"The Vita Coco Company, Inc.",,,+1.89,+5.57%,"345,220","645,720",2.036B,33.49,+33.89%,
TJX,"The TJX Companies, Inc.",,,+6.14,+4.56%,3.953M,5.24M,157.029B,33.12,+11.97%,
MDT,Medtronic plc,,,+3.65,+4.07%,3M,8.067M,119.868B,25.92,+2.70%,
PPC,Pilgrim's Pride Corporation,,,+1.77,+3.86%,"345,299",1.205M,11.273B,9.14,+8.69%,
AS,"Amer Sports, Inc.",,,+1.10,+3.08%,1.995M,4.176M,20.43B,99.57,+152.58%,
NGD,New Gold Inc.,,,+0.16,+3.22%,3.468M,19.775M,4.209B,26.48,+90.71%,
UA,"Under Armour, Inc.",,,+0.11,+2.20%,1.377M,3.724M,2.21B,23.23,-38.27%,
